,friend,line
86,Joey, Who's Paul?
87,Ross," Paul the Wine Guy, Paul?"
88,Monica," Maybe. Joey Wait. Your 'not a real
date' tonight is with Paul the Wine Guy?"
89,Ross, He finally asked you out?
90,Monica, Yes!
91,Chandler," Ooh, this is a Dear Diary moment."
92,Monica," Rach, wait, I can cancel..."
93,Rachel," Please, no, go, that'd be fine!"
94,Monica," (to Ross) Are, are you okay? I mean, do you
want me to stay?"
95,Ross, (choked voice) That'd be good...
96,Monica, (horrified) Really?
97,Ross," (normal voice) No, go on! It's Paul the Wine
Guy!"
98,Phoebe," What does that mean?  
Does he sell it, drink it, or just complain a lot? (Chandler doesn't know.)"
100,Monica," Hi, come in! Paul, this is.. (They are all
lined up next to the door.)... everybody, everybody, this is Paul."
102,Chandler," I'm sorry, I didn't catch your name. Paul,
was it?"
103,Monica," Okay, umm-umm, I'll
just--I'll be right back, I just gotta go ah, go ah..."
104,Ross, A wandering?
105,Monica," Change!  Okay,
sit down. (Shows Paul in) Two seconds."
106,Phoebe," Ooh, I just pulled out four eyelashes. That
can't be good."
108,Joey,"  Hey, Paul!"
110,Joey," Here's a little tip, she
really likes it when you rub her neck in the same spot over and over and over again until
it starts to get a little red."
111,Monica," (yelling from the bedroom)
Shut up, Joey!"
112,Ross," So Rachel, what're you, uh... what're you up
to tonight?"
113,Rachel," Well, I was kinda supposed to be headed for
Aruba on my honeymoon, so nothing!"
114,Ross," Right, you're not even getting your honeymoon,
God.. No, no, although, Aruba, this time of year... talk about your- (thinks) -big
lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are
coming over to help me put together my new furniture."
115,Chandler," (deadpan) Yes, and we're very excited
about it. "
116,Rachel," Well actually thanks, but I think I'm just
gonna hang out here tonight.  It's been kinda a long day."
117,Ross," Okay, sure."
118,Joey," Hey Pheebs, you wanna help?"
119,Phoebe," Oh, I wish I could, but I don't want to."
122,Phoebe," (singing) Love is sweet as
summer showers, love is a wondrous work of art, but your love oh your love, your love...is
like a giant pigeon...crapping on my heart.  La-la-la-la-la- (some guy gives her some
change and to that guy) Thank you. (sings) La-la-la-la...ohhh!"
124,Ross," (squatting and reading the instructions) I'm
supposed to attach a brackety thing to the side things, using a bunch of these little worm
guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
126,Joey," I'm thinking we've got a
bookcase here."
127,Chandler, It's a beautiful thing.
128,Joey, (picking up a leftover part) What's this?
129,Chandler," I would have to
say that is an 'L'-shaped bracket."
130,Joey, Which goes where?
131,Chandler," I have no
idea."
133,Joey, Done with the bookcase!
134,Chandler, All finished!
135,Ross," (clutching a beer can and sniffing) This was
Carol's favorite beer. She always drank it out of the can, I should have known."
136,Joey," Hey-hey-hey-hey, if you're
gonna start with that stuff we're outta here."
137,Chandler," Yes, please don't spoil
all this fun."
138,Joey," Ross, let me ask you a question. She got the
furniture, the stereo, the good TV- what did you get?"
139,Ross, You guys.
140,Chandler," Oh, God."
141,Joey, You got screwed.
142,Chandler, Oh my God!
144,Monica, Oh my God!
146,Monica," My brother's going through that right now,
he's such a mess. How did you get through it?"
148,Monica, -leg?
150,Monica," You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by
boyfriend's favorite bath towel."
152,Monica," That's right.
[Scene Monica's Apartment, Rachel is talking on the phone and pacing.]"
153,Rachel," Barry, I'm sorry... I am so sorry... I know
you probably think that this is all about what I said the other day about you making love
with your socks on, but it isn't... it isn't, it's about me, and I ju- (She stops talking
and dials the phone.) Hi, machine cut me off again... anyway...look,
look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel,
but it isn't me, it's not me.  And not that I have any idea who me is right now, but
you just have to give me a chance too... (The maching cuts her off again and she redials.)"
155,Ross," I'm divorced!  I'm only
26 and I'm divorced!"
156,Joey, Shut up!
157,Chandler," You must stop! (Chandler
hits what he is working on with a hammer and it collapses.)"
158,Ross, That only took me an hour.
159,Chandler," Look, Ross, you gotta
understand, between us we haven't had a relationship that has lasted longer than a Mento.
  You, however have had the love of a woman for four years.  
Four years of closeness and sharing at the end of which she ripped your heart out, and
that is why we don't do it!  I don't think that was my point!"
160,Ross," You know what the scariest part is? What if
there's only one woman for everybody, y'know? I mean what if you get one woman- and that's
it? Unfortunately in my case, there was only one woman- for her..."
161,Joey," What are you talking about? 'One woman'?
That's like saying there's only one flavor of ice cream for you. Lemme tell you something,
Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing!
Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the
best thing that ever happened to you! You got married, you were, like, what, eight?
Welcome back to the world! Grab a spoon!"
162,Ross, I honestly don't know if I'm hungry or horny.
163,Chandler," Stay out of my freezer! [Scene A
Restaurant, Monica and Paul are still eating.]"
165,Monica," What?..... What, you wanna spell it out with
noodles?"
167,Monica," Oh, so there is gonna be a fifth date?"
169,Monica," Yeah... yeah, I think there is. -What were
you gonna say?"
171,Monica," (spitting out her drink in shock) Oh God, oh
God, I am sorry... I am so sorry..."
173,Monica," I know being spit on is probably not what
you need right now. Um... how long?"
175,Monica," Wow! I'm-I'm-I'm glad you smashed her watch!
"
177,Monica," (pause)...Yeah. Yeah, I do."
180,Rachel," Oh...see... but Joanne loved Chachi! That's
the difference!"
182,Ross," (scornful) Grab a spoon. Do you know how long
it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything
to you? "
183,Joey," Great story!  But, I uh,
I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man, (looks to Chandler)"
184,Chandler," Angela's the screamer,
Andrea has cats."
185,Joey," Right.  Thanks. 
It's June.  I'm outta here. (Exits.)"
186,Ross," Y'know, here's the thing. Even if I could get
it together enough to- to ask a woman out,... who am I gonna ask? (He gazes out of the
window.)"
190,Rachel," Isn't this amazing? I mean, I have never
made coffee before in my entire life."
191,Chandler, That is amazing.
192,Joey, Congratulations. 
193,Rachel," Y'know, I figure if I can
make coffee, there isn't anything I can't do."
194,Chandler," If can invade Poland,
there isn't anything I can't do."
195,Joey," Listen, while you're on a roll, if you feel
like you gotta make like a Western omelet or something... (Joey and Chandler taste the
coffee, grimace, and pour it into a plant pot.) Although actually I'm really not that
hungry..."
196,Monica," (entering, to herself) Oh
good, Lenny and Squigy are here."
199,Joey," Morning, Paul."
200,Rachel," Hello, Paul."
201,Chandler," Hi, Paul, is it?"
204,Monica, Stop!
206,Monica, We'll talk later.
208,Joey," That wasn't a real date?! What the hell do you
do on a real date?"
209,Monica," Shut up, and put my table back."
211,Chandler," All right, kids, I gotta get to work. If I
don't input those numbers,... it doesn't make much of a difference... "
212,Rachel," So, like, you guys all have jobs?"
213,Monica," Yeah, we all have jobs. See, that's how we
buy stuff."
214,Joey," Yeah, I'm an actor."
215,Rachel, Wow! Would I have seen you in anything?
216,Joey, I doubt it. Mostly regional work.
217,Monica," Oh wait, wait, unless you happened to catch
the Reruns' production of Pinocchio, at the little theater in the
park."
218,Joey," Look, it was a job all right?"
219,Chandler," 'Look, Gippetto, I'm a real live boy.'"
220,Joey," I will not take this abuse. (Walks to the door
and opens it to leave.)"
221,Chandler," You're right, I'm sorry. (Burst into song
and dances out of the door.) ""Once I was a wooden boy, a little wooden boy..."""
222,Joey," You should both know,
that he's a dead man.  Oh, Chandler? (Starts after Chandler.) "
223,Monica," So how you doing today? Did you sleep okay?
Talk to Barry? I can't stop smiling."
224,Rachel," I can see that. You look like you slept with
a hanger in your mouth."
225,Monica," I know, he's just so, so... Do you remember
you and Tony DeMarco?"
226,Rachel," Oh, yeah."
227,Monica," Well, it's like that. With feelings."
228,Rachel, Oh wow. Are you in trouble.
229,Monica, Big time!
230,Rachel," Want a wedding dress?  
Hardly used."
231,Monica," I think we are getting
a little ahead of selves here. Okay. Okay. I am just going to get up, go to work
and not think about him all day. Or else I'm just gonna get up and go to work."
232,Rachel," Oh, look, wish me luck!"
233,Monica, What for?
234,Rachel," I'm gonna go get one of those (Thinks) job
things."
238,Monica," Hey Frannie, welcome back! How was Florida? "
240,Monica, How do you do that?
242,Monica, You know Paul? 
244,Monica, You mean you know Paul like I know Paul? 
247,Joey, (sitting on the arm of the couch)Of course it was a line! 
248,Monica," Why?! Why? Why, why would anybody do something like that? "
249,Ross," I assume we're looking for an answer more sophisticated than 'to get you
into bed'. "
250,Monica, I hate men!  I hate men!
251,Phoebe," Oh no, don't hate, you don't
want to put that out into the universe."
252,Monica," Is it me? Is it like I have some sort of
beacon that only dogs and men with severe emotional problems can hear? "
253,Phoebe," All right, c'mere, gimme your feet. (She starts massaging them.) "
254,Monica," I just thought he was nice, y'know? "
255,Joey," (bursts out laughing again) I can't believe you didn't know it was a line!
"
257,Rachel, Guess what? 
258,Ross, You got a job? 
259,Rachel," Are you kidding? I'm trained for nothing! I was laughed out of twelve
interviews today. "
260,Chandler, And yet you're surprisingly upbeat. 
261,Rachel," You would be too if you found John and David boots on sale, fifty
percent off! "
262,Chandler," Oh, how well you know me... "
263,Rachel," They're my new 'I don't need a job, I don't need my parents, I've got
great boots' boots! "
264,Monica, How'd you pay for them? 
265,Rachel," Uh, credit card. "
266,Monica, And who pays for that? 
267,Rachel, Um... my... father. 
269,Rachel," Oh God, come on you
guys, is this really necessary?  I mean, I can stop charging anytime I want. "
270,Monica," C'mon, you can't live off your parents your whole life. "
271,Rachel, I know that. That's why I was getting married. 
272,Phoebe," Give her a break, it's hard being on your own for the first time. "
273,Rachel, Thank you. 
274,Phoebe," You're welcome. I remember when I first came to this city. I was
fourteen. My mom had just killed herself and my step-dad was back in prison, and I got
here, and I didn't know anybody. And I ended up living with this albino guy who was, like,
cleaning windshields outside port authority, and then he killed himself, and then I found
aromatherapy. So believe me, I know exactly how you feel. "
276,Ross, The word you're looking for is 'Anyway'... 
277,Monica," All right, you ready?"
278,Rachel," No.  No, no, I'm not
ready!  How can I be ready?  ""Hey, Rach!  You ready to jump out the
airplane without your parachute?""  Come on, I can't do this!"
279,Monica," You can, I know you
can! "
280,Rachel, I don't think so.
281,Ross," Come on, you made
coffee!   You can do anything! (Chandler slowly tries to hide the now dead plant from
that morning when he and Joey poured their coffee into it.)"
282,Ross," C'mon, cut. Cut, cut, cut,... "
284,Rachel," Y'know what?  I think
we can just leave it at that.  It's kinda like a symbolic gesture..."
285,Monica,"  Rachel! 
That was a library card! "
287,Chandler," (as Rachel is cutting up
her cards) Y'know, if you listen closely, you can hear a thousand retailers scream. "
289,Monica," Welcome to the real world! It sucks. You're
gonna love it! "
291,Monica," Well, that's it (To Ross) You gonna crash on the couch? "
292,Ross," No. No, I gotta go home sometime. "
293,Monica, You be okay? 
294,Ross, Yeah. 
295,Rachel," Hey Mon, look what I just found on the floor. (Monica smiles.) What? "
296,Monica," That's Paul's watch. You just put it back where you found it. Oh boy.
Alright. Goodnight, everybody. "
299,Ross," Mmm. (They both reach for the last cookie) Oh, no- "
300,Rachel, Sorry- 
301,Ross," No no no, go- "
302,Rachel," No, you have it, really, I don't want it- "
303,Ross, Split it? 
304,Rachel, Okay. 
305,Ross," Okay. (They split it.) You know you probably didn't know this, but back in
high school, I had a, um, major crush on you. "
306,Rachel, I knew. 
307,Ross," You did! Oh.... I always figured you just thought I was Monica's geeky
older brother. "
308,Rachel, I did. 
309,Ross," Oh. Listen, do you think- and try not to let my intense vulnerability
become any kind of a factor here- but do you think it would be okay if I asked you out?
Sometime? Maybe? "
310,Rachel," Yeah, maybe... "
311,Ross," Okay... okay, maybe I will... "
312,Rachel, Goodnight. 
313,Ross, Goodnight. 
315,Monica," See ya.... Waitwait, what's with you? "
316,Ross," I just grabbed a spoon. (Ross exits and Monica has no idea what that
means.) "
319,Joey, I can't believe what I'm hearing here. 
320,Phoebe, (sings) I can't believe what I'm hearing here... 
321,Monica, What? I-I said you had a- 
322,Phoebe, (sings) What I said you had... 
323,Monica, (to Phoebe) Would you stop? 
324,Phoebe," Oh, was I doing it again?"
326,Monica," I said that you had a nice
butt, it's just not a great butt."
327,Joey," Oh, you wouldn't know a great
butt if it came up and bit ya."
328,Ross," There's an image.
"
329,Rachel, (walks up with a pot of coffee) Would anybody like more coffee? 
330,Chandler," Did you make it, or are you just serving it? "
331,Rachel, I'm just serving it. 
333,Chandler," Kids, new dream... I'm in Las Vegas. (Rachel
sits down to hear Chandler's dream.)"
335,Rachel," Ugh. (To another customer that's leaving.) Excuse me, could you give
this to that guy over there? (Hands him the coffee pot.) Go ahead. (He does so.) Thank
you. (To the gang.) Sorry.  Okay, Las Vegas."
336,Chandler," Okay, so, I'm in Las
Vegas... I'm Liza Minelli- "
0,Monica," What you guys don't understand is, for us,
kissing is as important as any part of it. "
1,Joey," Yeah, right!.......Y'serious? "
2,Phoebe," Oh, yeah! "
3,Rachel, Everything you need to know is in that first kiss. 
4,Monica, Absolutely. 
5,Chandler," Yeah, I think for us, kissing is pretty much like an opening act,
y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd
comes out. "
6,Ross," Yeah, and-and it's not that we don't like the comedian, it's that-that...
that's not why we bought the ticket. "
7,Chandler," The problem is, though, after the concert's over, no matter how great
the show was, you girls are always looking for the comedian again, y'know? I mean, we're
in the car, we're fighting traffic... basically just trying to stay awake. "
8,Rachel," Yeah, well, word of advice Bring back the comedian. Otherwise next time
you're gonna find yourself sitting at home, listening to that album alone. "
9,Joey, (pause)....Are we still talking about sex?
12,Ross," No, it's good, it is good, it's just that- mm- doesn't she seem a little
angry? "
14,Ross, Does she. 
16,Ross," Marsha, these are cave people. Okay? They have issues like 'Gee, that
glacier's getting kinda close.' See? "
19,Ross, (trying to ignore her) No. No. 
21,Ross," Okay, okay, yes, it is. (waves) How about I'll, uh, catch up with you in
the Ice Age. "
23,Ross,Hi. 
25,Ross," You look great. I, uh... I hate that. "
27,Ross," Ah, well, in here, anyone who... stands erect... So what's new? Still,
uh... "
29,Ross," Well... you never know. How's, um.. how's the family? "
31,Ross," Why- why are you here, Carol? "
33,Ross, Pregnant?! 
35,Chandler," Oh, I think this is the episode of Three's
Company where there's some kind of misunderstanding. "
36,Phoebe,...Then I've already seen this one! (Turns off the TV.) 
37,Monica, (taking a drink from Joey) Are you through with that? 
38,Joey," Yeah, sorry, the swallowing slowed me down. "
39,Monica, Whose little ball of paper is this?! 
40,Chandler," Oh, uh, that would be mine. See, I wrote a note to myself, and then I
realised I didn't need it, so I balled it up and... (sees that Monica is glaring at him)
...now I wish I was dead. "
42,Phoebe," She's already fluffed that pillow... Monica, you know, you've already
fluffed that- (Monica glares at her.) -but, it's fine! "
43,Monica," Look , I'm sorry, guys, I just don't wanna give them any more ammunition
than they already have. "
44,Chandler," Yes, and we all know how cruel a parent can be about the flatness of a
child's pillow. "
45,Phoebe," Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're
like all chaotic and twirly. And not-not in a good way. "
46,Joey," Yeah, calm down. You don't see Ross getting all chaotic and twirly every
time they come. "
47,Monica," That's because as far as my parents are concerned, Ross can do no wrong.
Y'see, he's the Prince. Apparently they had some big ceremony before I was born. "
48,Chandler," (looking out the window) Ew, ew, ew, ew ew ew ew ew! "
49,Monica, What? 
50,Chandler, Ugly Naked Guy got a Thighmaster! 
53,Rachel, Has anybody seen my engagement ring? 
54,Phoebe," Yeah, it's beautiful. "
55,Rachel," Oh God, oh God, oh God oh God oh God oh God.... (Starts to look under
the couch cushions.) "
56,Phoebe," No, look, don't touch that! "
57,Rachel," Oh, like I wasn't dreading tomorrow enough, having to give it back to
him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front
of your entire family!' Oh God and now I'm gonna have to return the ring, without the
ring, which makes it so much harder... "
58,Monica," Easy Rach, we'll find it. (To all) Won't we! "
60,Joey," Alright, when'd'ya have it on last?"
61,Phoebe, Doy! Probably right before she lost it! 
62,Chandler, You don't get a lot of 'doy' these days... 
63,Rachel," I know I had it this morning, and I know I had it when I was in the
kitchen with... "
64,Chandler, ...Dinah? 
65,Rachel," (looks at the lasagne and realizes something) Ohhhhh, don't be mad... "
66,Monica, You didn't. 
67,Rachel," Oh, I am sorry... "
68,Monica," I gave you one job! (Starts to examin the lasagne through the bottom of
the glass pan.) "
69,Rachel," Oh, but look how straight those noodles are! "
70,Chandler," Now, Monica, you know that's not how you look for an engagement ring
in a lasagne... "
71,Monica, (puts down the lasagne) I just... can't do it. 
72,Chandler, Boys? We're going in. 
74,Ross, (standing outside the door).....Hi. 
75,Monica, Wow. That is not a happy hi. 
76,Ross, Carol's pregnant. 
77,Phoebe, (while everyone else is stunned) Ooh! I found it! 
78,Monica, W-w-wh-... wha-... w-w-w-... 
79,Ross," Yeah. Do that for another two hours, you might be where I am right about
now. (He enters.) "
80,Chandler," Kinda puts that whole pillow thing in perspective, huh, Mon? "
81,Rachel," Well now, how-how do you fit into this whole thing? "
82,Ross," Well, Carol says she and Susan want me to be involved, but if I'm not
comfortable with it, I don't have to be involved.. basically it's entirely up to me. "
83,Phoebe, She is so great! I miss her. 
84,Monica, What does she mean by 'involved'? 
85,Chandler," I mean presumably, the biggest part of your job is done. "
86,Ross," Anyway, they want me to go down to this- sonogram thing with them
tomorrow. "
87,Rachel, So what are you gonna do? 
88,Ross," I have no idea. No matter what I do, though, I'm still gonna be a father. "
90,Joey," .....Well, this is still ruined, right?"
93,Monica, Curry. 
95,Ross," I- I think they're great! I, I really do. "
98,Ross," Aw, Mom... "
99,Monica," I'm sorry, why is this girl going to call me? "
101,Monica," No Mom, I don't have a restaurant, I work in a restaurant. "
103,Monica," Ross, could you come and help me with the spaghetti, please? "
104,Ross, Yeah. (They go to the kitchen.) 
106,Monica," I know this is going to sound unbelievably selfish, but, were you
planning on bringing up the whole baby/lesbian thing? Because I think it might take some
of the heat off me. "
111,Monica, What's that supposed to mean? 
113,Monica, No it's not. 
119,Monica," (trying desperately to change the subject) So, Ross, what's going on
with you? Any stories? (Digs her elbow into his hand.) No news, no little anecdotes to
share with the folks? "
120,Ross," (pulls his hand away) Okay! Okay. (To his parents) Look, I, uh- I realise
you guys have been wondering what exactly happened between Carol and me, and, so, well,
here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant
with my child, and she and Susan are going to raise the baby. "
125,Joey," Your folks are really that bad, huh? "
126,Ross," Well, y'know, these people are pros. They know what they're doing, they
take their time, they get the job done. "
127,Monica," Boy, I know they say you can't change your parents,... boy, if you
could- (To Ross) -I'd want yours. "
128,Ross, Must pee. (Goes to pee.) 
129,Phoebe," Y'know, it's even worse when you're twins. "
130,Rachel, You're twins? 
131,Phoebe," Yeah. We don't speak. She's like this high-powered, driven career type. "
132,Chandler, What does she do? 
133,Phoebe, She's a waitress. 
134,Rachel," All right, you guys, I kinda gotta clean up now. (They all start to
leave.) "
135,Monica," Chandler, you're an only child, right? You don't have any of this. "
136,Chandler," Well, no, although I did have an imaginary friend, who... my parents
actually preferred. "
137,Rachel," The lights, please.."
139,Ross, ...How long was I in there? 
140,Rachel, I'm just cleaning up. 
141,Ross, D'ya.. uh.. d'ya need any help? 
142,Rachel," Uh.. okay, sure! Thanks! (She hands him the broom and sits down.) "
143,Ross," Anyway.. um.. (Starts to sweep.) So, you- uh- you nervous about Barry
tomorrow? "
144,Rachel, Oh.. a little.. 
145,Ross, Mm-hmm.. 
146,Rachel, A lot. 
147,Ross, Mm. 
148,Rachel," So, got any advice? Y'know, as someone who's recently been- dumped? "
149,Ross," Well, you may wanna steer clear of the word 'dumped'. Chances are he's
gonna be this, this broken shell of a man, y'know, so you should try not to look too
terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give
Barry back his ring, and you can go with Carol and Susan to the OB/GYN... "
150,Rachel," Oh, you've got Carol tomorrow.. When did it get so complicated? "
151,Ross, Got me. 
152,Rachel, Remember when we were in high school together? 
153,Ross, Yeah. 
154,Rachel," I mean, didn't you think you were just gonna meet somone, fall in love-
and that'd be it? (Ross gazes at her.) ..Ross? "
155,Ross," Yes, yes! "
156,Rachel," Oh! Man, I never thought I'd be here.. (She leans back onto his hand.) "
157,Ross," Me either... (He pulls up a stool so that he doesn't have to move his
hand.) "
159,Ross," (entering) Sorry I'm late, I was stuck at work. There was this big
dinosaur.. thing.. anyway. "
163,Ross, How could I forget? 
165,Ross," (they shake hands) Hello, Susan. (To Carol) Good shake. Good shake. So,
uh, we're just waiting for...? "
167,Ross, ..Dr. Oberman. Okay. And is he- 
169,Ross," -she, of course, she- uh- familiar with our.. special situation? "
171,Ross," Okay, that's great. (Susan gives her drink to Carol.) No, I'm- Oh.  "
173,Ross," (picks up a surgical instrament and mimes a duck with it) Quack, quack.. "
176,Rachel, Barry? 
178,Rachel, (hesitates) Are you sure? 
182,Rachel, I'm- uh- I'm okay... You look great! 
187,Rachel, I dumped him. 
190,Ross," So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know,
when, like, important decisions have to be made? "
192,Ross," Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the
baby's name? "
194,Ross, Marlon?! 
196,Ross, ...As in Mouse? 
198,Ross," Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about
Julia? "
201,Ross," 'S'funny, um, uh, we agreed we'd spend the rest of our lives together.
Things change, roll with the punches. I believe Julia's on the table..? "
204,Rachel," Oh, not much. I-I got a job. "
206,Rachel, Why are- why are you so tanned? 
208,Rachel, Oh no. You went on our honeymoon alone? 
212,Rachel," Mindy?! My maid of honour, Mindy?! "
214,Rachel," Oh! Well, um.. (Grabs his forehand) You've got plugs! "
216,Rachel, And you've got lenses! But you hate sticking your finger in your eye! 
218,Rachel, Okay.. 
220,Rachel, Wow. 
222,Rachel, What? 
224,Rachel," Anyway, um, (Gets the ring out of her purse.) I guess this belongs to
you. And thank you for giving it to me. "
230,Ross, Helen Geller? I don't think so. 
232,Ross, Thank you! 
234,Ross," What, it's gonna be Helen Willick? "
236,Ross," Well, wait a minute, wha- why is she in the title? "
238,Ross," Oh, 's'funny, really? Um, I don't remember you making any sperm. "
241,Ross," No no no, she gets a credit, hey, I'm in there too. "
243,Ross," Of course not, I'm... suggesting Geller-Willick-Bunch. "
245,Ross," My way?! You-you think this is my way? Believe me, of all the ways I ever
imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is
too hard. I'm not, I can't do- "
